PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evennessCV,movedToNewInstances,movedBetweenOldInstances,STBetweenOldInstances,maxResourceCount,maxPartitionCount,maxCapacityKeyUsage,maxTopStateUsage
92.0,39.0,92.0,17.0,25.0,1.0882148,0.0,0.0,0.0,1.0117869,1.0268064,1.0882148,1.0805936
41.0,90.0,77.0,81.0,48.0,0.7849508,31.0,2.0,0.0,0.6065579,0.6080954,0.78495085,0.51724446
1.0,6.0,65.0,81.0,69.0,0.54431194,45.0,5.0,0.0,0.44924074,0.40657547,0.54431194,0.2958271
7.0,28.0,11.0,54.0,28.0,0.7038405,35.0,10.0,0.0,0.5464959,0.5464959,0.7038405,0.43304655
65.0,94.0,58.0,32.0,37.0,0.9315602,14.0,0.0,0.0,0.8296331,0.83056,0.9315602,0.7922109
12.0,1.0,32.0,32.0,81.0,0.97458714,14.0,0.0,0.0,0.8296331,0.83056,0.97458714,0.7922109
71.0,67.0,88.0,27.0,71.0,1.0640335,4.0,0.0,0.0,0.95610726,0.9734722,1.0640335,1.0038214
55.0,13.0,10.0,9.0,92.0,1.0949312,0.0,0.0,0.0,1.0117869,1.0268064,1.0949312,1.0805936
24.0,51.0,54.0,18.0,56.0,0.7622344,31.0,0.0,0.0,0.604873,0.6153619,0.7622344,0.5362322
80.0,51.0,100.0,25.0,18.0,1.1205825,0.0,0.0,0.0,1.0117869,1.0268064,1.1205825,1.0805936
92.0,68.0,63.0,48.0,75.0,1.1001662,0.0,0.0,0.0,1.0117869,1.0268064,1.1001662,1.0805936
19.0,57.0,2.0,99.0,66.0,0.71365786,31.0,2.0,0.0,0.62982094,0.6080954,0.71365786,0.51724446
24.0,54.0,48.0,94.0,39.0,0.77754277,31.0,0.0,0.0,0.60657376,0.6080954,0.77754277,0.51724446
31.0,39.0,35.0,70.0,34.0,0.8449071,30.0,0.0,0.0,0.63561344,0.62964344,0.8449071,0.5362322
75.0,12.0,52.0,25.0,38.0,1.1037395,0.0,0.0,0.0,1.0117869,1.0268064,1.1037395,1.0805936
61.0,37.0,24.0,77.0,67.0,1.0561084,4.0,0.0,0.0,0.96265405,0.9734722,1.0561084,0.9631433
13.0,52.0,4.0,65.0,5.0,0.82252276,35.0,10.0,0.0,0.5464959,0.5464959,0.82252276,0.43304655
93.0,13.0,20.0,24.0,46.0,1.1409787,0.0,0.0,0.0,1.0144362,1.0268064,1.1409787,1.0805936
24.0,97.0,90.0,34.0,5.0,0.68741184,35.0,5.0,0.0,0.5464959,0.5464959,0.68741184,0.49753258
80.0,58.0,43.0,17.0,62.0,1.1254092,0.0,0.0,0.0,1.0117869,1.0268064,1.1254092,1.0805936
55.0,73.0,60.0,77.0,55.0,0.8140339,30.0,0.0,0.0,0.61220497,0.62964344,0.8140339,0.5362322
47.0,13.0,1.0,41.0,88.0,1.1470546,0.0,0.0,0.0,1.0243523,1.0268064,1.1470546,1.0429142
78.0,81.0,46.0,19.0,1.0,1.146065,0.0,0.0,0.0,1.0117869,1.0268064,1.146065,1.0898099
80.0,83.0,44.0,2.0,51.0,1.1191987,0.0,0.0,0.0,1.0117869,1.0268064,1.1191987,1.0898099
78.0,85.0,93.0,19.0,19.0,1.0800958,4.0,0.0,0.0,0.95610726,0.9734722,1.0800958,1.0038214
42.0,87.0,87.0,18.0,80.0,0.7196969,31.0,0.0,0.0,0.5986027,0.6080954,0.7196969,0.51724446
77.0,87.0,90.0,90.0,66.0,0.9092234,14.0,0.0,0.0,0.8296331,0.83056,0.9092234,0.7922109
53.0,56.0,47.0,25.0,88.0,1.0733916,4.0,0.0,0.0,0.95610726,0.9734722,1.0733916,1.0038214
52.0,77.0,98.0,83.0,41.0,0.7716912,31.0,0.0,0.0,0.5986027,0.6080954,0.7716912,0.51724446
13.0,43.0,78.0,21.0,19.0,0.6818142,31.0,1.0,0.0,0.6080954,0.6080954,0.68181425,0.51724446
76.0,24.0,73.0,87.0,75.0,1.1094582,0.0,0.0,0.0,1.0170213,1.0268064,1.1094582,1.0805936
64.0,11.0,12.0,74.0,5.0,1.1116513,0.0,0.0,0.0,1.0195383,1.0268064,1.1116513,1.0429142
21.0,37.0,90.0,38.0,55.0,0.7952217,31.0,1.0,0.0,0.6080954,0.6080954,0.7952217,0.51724446
